id,station_id,timestamp,fuel_type,price,latitude,longitude,previous_price
2026-03-16T11:43:49.524702,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,e5p,1.989
2026-03-16T11:43:49.524702,1243122,Jung Bischoffen,Jung,Bischoffen,e5p,2.004
2026-03-16T11:43:49.524702,1244308,Esso Hohenahr,Esso,Hohenahr,e5p,2.019
2026-03-16T11:43:49.524702,1235075,ARAL Lahnau,ARAL,Lahnau,e5p,2.029
2026-03-16T11:43:49.524702,1243863,JET GIESSEN,JET,GIESSEN,e5p,2.049
2026-03-16T11:43:49.524702,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,e5p,2.049
2026-03-16T11:43:49.524702,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,e5p,2.049
2026-03-16T11:43:49.524702,1238450,ARAL Wettenberg,ARAL,Wettenberg,e5p,2.089
2026-03-16T11:43:49.524702,1243122,Jung Bischoffen,Jung,Bischoffen,diesel,2.084
2026-03-16T11:43:49.524702,1240122,PT Tankstelle Becker Wettenberg,PT Tankstelle Becker,Wettenberg,diesel,2.089
2026-03-16T11:43:49.524702,1247288,Roth Energie & Tankstop Best Lahnau Waldgirmes,Roth Energie & Tankstop Best,Lahnau Waldgirmes,diesel,2.099
2026-03-16T11:43:49.524702,1244308,Esso Hohenahr,Esso,Hohenahr,diesel,2.099
2026-03-16T11:43:49.524702,1806060,Q1 Lollar,Q1,Lollar,diesel,2.109
2026-03-16T11:43:49.524702,1238016,Mengin Lollar-Odenhausen,Mengin,Lollar-Odenhausen,diesel,2.119
2026-03-16T11:43:49.524702,1241880,Access Heuchelheim,Access,Heuchelheim,diesel,2.119
2026-03-16T11:43:49.524702,1239038,Mandler Tank & Wasch Heuchelheim,Mandler Tank & Wasch,Heuchelheim,diesel,2.119
2026-03-16T11:43:49.524702,1240297,Mengin Biebertal-Rodheim,Mengin,Biebertal-Rodheim,diesel,2.119
2026-03-16T11:43:49.524702,1235075,ARAL Lahnau,ARAL,Lahnau,diesel,2.139
2026-03-16T11:43:49.524702,1243863,JET GIESSEN,JET,GIESSEN,diesel,2.179
2026-03-16T11:43:49.524702,1240921,Roth- Energie Gießen,Roth- Energie,Gießen,diesel,2.179
2026-03-16T11:43:49.524702,1244121,JET HEUCHELHEIM,JET,HEUCHELHEIM,diesel,2.179
2026-03-16T11:43:49.524702,1238450,ARAL Wettenberg,ARAL,Wettenberg,diesel,2.219
